,course_id,present_city,course_city,family_members_cnt,working_family_members,course_hours_per_day,course_completed
60,6.0,Delhi,Delhi,3.0,2.0,5.0,1.0
61,8.0,Kolkata,Kolkata,3.0,1.0,6.0,0.0
62,0.0,Mumbai,Mumbai,3.0,1.0,8.0,0.0
63,3.0,Kolkata,Bangalore,3.0,1.0,4.0,0.0
64,5.0,Chennai,Kolkata,4.0,2.0,4.0,0.0
65,8.0,Chennai,Delhi,4.0,2.0,8.0,1.0
66,3.0,Bangalore,Chennai,3.0,2.0,4.0,1.0
67,6.0,Mumbai,Mumbai,3.0,1.0,8.0,0.0
68,4.0,Bangalore,Delhi,3.0,1.0,4.0,0.0
69,9.0,Delhi,Mumbai,4.0,2.0,8.0,0.0
70,1.0,Kolkata,Kolkata,3.0,1.0,4.0,1.0
71,8.0,Chennai,Kolkata,2.0,2.0,8.0,0.0
72,6.0,Bangalore,Kolkata,3.0,2.0,8.0,0.0
73,7.0,Chennai,Bangalore,3.0,2.0,8.0,0.0
74,0.0,Bangalore,Delhi,4.0,1.0,5.0,1.0
75,9.0,Bangalore,Mumbai,3.0,1.0,4.0,0.0
76,7.0,Mumbai,Kolkata,2.0,1.0,6.0,0.0
77,8.0,Chennai,Kolkata,4.0,2.0,8.0,0.0
78,8.0,Delhi,Kolkata,2.0,1.0,6.0,1.0
79,9.0,Delhi,Kolkata,2.0,2.0,8.0,0.0
80,2.0,Delhi,Kolkata,2.0,2.0,4.0,1.0
81,0.0,Kolkata,Delhi,2.0,1.0,5.0,1.0
82,2.0,Kolkata,Delhi,2.0,2.0,4.0,1.0
83,8.0,Delhi,Delhi,4.0,1.0,8.0,1.0
84,6.0,Bangalore,Bangalore,2.0,2.0,5.0,0.0
85,3.0,Kolkata,Mumbai,4.0,2.0,8.0,1.0
86,7.0,Kolkata,Kolkata,2.0,2.0,6.0,1.0
87,9.0,Bangalore,Kolkata,3.0,1.0,8.0,0.0
88,1.0,Kolkata,Bangalore,4.0,1.0,6.0,0.0
89,0.0,Kolkata,Chennai,4.0,1.0,8.0,1.0
90,8.0,Mumbai,Chennai,4.0,2.0,4.0,1.0
91,6.0,Chennai,Mumbai,3.0,2.0,5.0,1.0
92,1.0,Kolkata,Chennai,2.0,1.0,5.0,1.0
93,3.0,Mumbai,Chennai,2.0,1.0,4.0,1.0
94,3.0,Delhi,Mumbai,4.0,1.0,6.0,1.0
95,1.0,Bangalore,Delhi,3.0,2.0,4.0,1.0
96,8.0,Bangalore,Chennai,2.0,1.0,5.0,0.0
97,9.0,Chennai,Mumbai,2.0,2.0,8.0,1.0
98,5.0,Kolkata,Mumbai,3.0,2.0,6.0,1.0
99,0.0,Kolkata,Delhi,2.0,1.0,8.0,0.0
