,student_engagement_status,final_fee,city,disability_types,family_members_cnt,working_family_members,bpl_status,highest_qualification
62,Not enrolled,Below 1000,Bangalore,Growth,3.0,2.0,Above,10th
63,Enrolled,Below 1000,Kolkata,Mental,2.0,1.0,Above,10th
64,Enrolled,Below 1000,Delhi,Ears,3.0,2.0,Below,Graduate
65,Enrolled,5000-10000,Chennai,Mental,3.0,2.0,Above,10th
66,Enrolled,Below 1000,Chennai,Mental,4.0,1.0,Below,Post Graduate
67,Not enrolled,1000-5000,Delhi,Ears,4.0,2.0,Below,Graduate
68,Not enrolled,5000-10000,Bangalore,Growth,2.0,1.0,Above,Post Graduate
69,Enrolled,5000-10000,Kolkata,Growth,2.0,2.0,Above,Post Graduate
70,Enrolled,5000-10000,Kolkata,Growth,3.0,1.0,Above,Post Graduate
71,Not enrolled,1000-5000,Bangalore,Eyes,2.0,2.0,Above,Post Graduate
72,Not enrolled,Below 1000,Kolkata,Eyes,3.0,2.0,Above,10th
73,Enrolled,Below 1000,Bangalore,Eyes,2.0,1.0,Above,Graduate
74,Not enrolled,Below 1000,Kolkata,Growth,4.0,2.0,Above,Graduate
75,Not enrolled,5000-10000,Kolkata,Eyes,2.0,1.0,Below,Graduate
76,Not enrolled,Below 1000,Chennai,Mental,4.0,2.0,Above,Graduate
77,Not enrolled,Below 1000,Chennai,Mental,2.0,1.0,Above,Graduate
78,Not enrolled,Below 1000,Chennai,Mental,3.0,1.0,Below,10th
79,Not enrolled,1000-5000,Mumbai,Ears,3.0,1.0,Above,10th
80,Not enrolled,5000-10000,Bangalore,Eyes,2.0,2.0,Below,Graduate
81,Enrolled,1000-5000,Mumbai,Growth,4.0,1.0,Above,10th
82,Not enrolled,1000-5000,Kolkata,Growth,4.0,2.0,Above,Graduate
83,Not enrolled,1000-5000,Kolkata,Growth,2.0,2.0,Below,10th
84,Enrolled,Below 1000,Mumbai,Ears,3.0,2.0,Above,Post Graduate
85,Not enrolled,5000-10000,Delhi,Growth,3.0,2.0,Below,12th
86,Not enrolled,5000-10000,Kolkata,Mental,3.0,2.0,Below,12th
87,Enrolled,5000-10000,Bangalore,Eyes,4.0,1.0,Above,Graduate
88,Enrolled,5000-10000,Bangalore,Eyes,3.0,1.0,Above,Post Graduate
89,Not enrolled,Below 1000,Kolkata,Growth,2.0,2.0,Above,Graduate
90,Not enrolled,Below 1000,Kolkata,Eyes,3.0,2.0,Above,Graduate
91,Not enrolled,1000-5000,Chennai,Ears,2.0,1.0,Above,10th
92,Not enrolled,1000-5000,Delhi,Mental,3.0,1.0,Below,Graduate
93,Not enrolled,1000-5000,Kolkata,Mental,4.0,1.0,Below,Graduate
94,Not enrolled,1000-5000,Kolkata,Mental,2.0,2.0,Above,Post Graduate
95,Enrolled,1000-5000,Mumbai,Ears,4.0,1.0,Above,12th
96,Enrolled,Below 1000,Mumbai,Ears,3.0,1.0,Below,Post Graduate
97,Not enrolled,Below 1000,Kolkata,Eyes,4.0,1.0,Below,10th
98,Enrolled,1000-5000,Mumbai,Eyes,4.0,1.0,Above,Graduate
99,Enrolled,5000-10000,Delhi,Growth,4.0,2.0,Above,10th
